"cell","CXCR2","CLCA1","SIGLEC1","EPHB3","IL23A","CCR8","MUC4","SERPINA1","GZMK","FCGR3A","IKZF2","Blank.19","HLA.DQA1","KDR","IKZF4","PKM","ITGA4","Blank.27","MARCO","HLA.DRA"
71036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
59906,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34350,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,41,1,0,0,1
26523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
30532,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,3
20974,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,31,0,0,0,5
23023,0,0,0,2,0,0,0,9,0,0,1,0,1,0,0,20,1,0,0,3
12528,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0
14095,0,0,1,1,1,0,0,28,0,0,0,1,0,0,0,41,0,0,0,22
1040,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,35,0,0,0,4
4967,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,6
13214,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
26794,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27292,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,2
41998,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
55935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13373,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0
62118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
69580,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,4
47063,0,0,1,1,0,1,1,10,0,0,2,0,0,0,0,56,0,0,0,3
57281,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,57,0,0,0,11
48548,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,0,0,0,3
65140,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,16,0,0,0,5
62807,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
69296,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,36,0,0,0,7
31375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68326,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,27,0,0,0,5
1150,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,9,0,0,0,16
50912,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,2
1188,0,0,1,0,0,0,0,10,0,0,2,0,0,0,0,78,0,0,0,9
52131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
13301,0,1,0,1,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,6
32446,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
47315,0,0,3,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,46
66292,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,12
3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
27000,0,0,0,1,2,0,0,7,0,0,0,0,0,0,0,30,0,0,0,10
41807,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,29,0,0,0,1
44683,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
29668,0,0,1,0,0,0,1,14,0,0,5,0,0,0,0,97,0,0,0,0
9262,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,21,0,0,0,7
29729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65212,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,49,1,0,0,8
66373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
34706,0,0,0,0,1,0,1,7,0,1,0,0,0,0,0,15,0,0,2,6
1107,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,5,0,0,0,19
25026,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,2
59042,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
64826,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
20217,1,0,0,2,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,1
18061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28504,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,1,2
1421,0,0,0,2,1,0,1,24,0,0,3,1,0,1,0,86,0,0,0,12
37519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24639,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,24,0,0,0,6
30351,0,0,0,1,0,0,0,5,0,0,1,1,0,0,0,17,0,0,0,0
40368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19618,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
41598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
28102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,4
53178,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0
45581,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
44376,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,18,0,0,0,2
34971,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,43,0,0,0,6
17097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39567,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,9,0,0,0,4
26448,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,89,0,0,0,2
8454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
7946,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,42,0,0,0,8
36430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
22976,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,47,0,0,0,9
3509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
62321,0,0,0,4,0,0,0,37,0,0,0,0,0,0,0,83,0,0,0,16
4722,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,58,0,0,0,9
12152,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,15,0,0,0,4
59023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12114,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,26,0,0,1,13
67061,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,12,0,0,1,11
70080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48589,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,33,0,0,0,11
51969,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
65643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38675,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,36,1,0,0,3
23694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
41963,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,37,0,0,0,2
9449,0,0,1,1,0,0,1,52,0,0,3,0,1,0,1,122,0,0,0,7
6631,0,0,0,1,0,0,1,13,0,0,1,0,0,0,0,15,0,0,0,2
41527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
24380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55380,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2
2096,0,0,0,0,0,1,0,27,0,0,2,0,0,0,0,115,1,0,0,7
57472,0,0,0,3,0,0,0,14,0,0,0,0,0,1,0,37,0,0,0,9
54579,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,25,0,0,0,3
66784,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,36,0,0,0,4
4062,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,30,0,0,0,9
38025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14512,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,14,0,0,0,3
6230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1
17425,0,0,0,2,1,0,0,20,0,0,1,0,0,0,0,72,0,0,0,8
23915,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,4
20165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
40447,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1
15475,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,22,0,0,1,7
18308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
49233,0,0,2,1,0,0,1,43,2,0,5,0,0,0,0,131,0,0,0,9
62081,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
12049,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,26,0,0,0,13
53890,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
37395,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,11,0,0,0,5
49829,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,0,4
22249,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
51200,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,33,0,0,0,4
66507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0
38524,0,0,0,0,1,1,0,34,0,0,0,1,0,0,0,99,1,0,0,8
64850,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,12
39911,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0
9019,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,1
25675,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,3
22777,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0
66640,0,0,0,2,1,0,1,14,0,0,1,0,0,0,0,35,0,0,0,1
63143,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64199,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
70224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
69273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
12125,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,28,0,0,0,20
5477,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,19,0,1,0,3
56453,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,31,0,0,0,1
52044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
40713,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,5
31961,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,73,0,0,0,4
32244,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0
8820,1,0,0,2,0,0,0,9,0,0,0,0,1,0,0,27,0,0,0,8
26287,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,27,0,0,0,6
59160,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,3
55266,0,0,0,1,1,0,0,4,0,0,1,1,1,0,0,19,0,0,0,1
5587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,3
7707,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,15,0,0,0,0
65868,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,14,0,0,0,1
41101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30165,0,0,0,0,0,1,1,4,1,0,1,1,0,0,0,70,0,0,0,2
10763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
46654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5682,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,51,0,0,0,2
29159,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,27,0,0,0,15
7334,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,13,0,0,0,2
33780,0,0,0,1,0,0,1,25,0,0,0,0,0,0,0,30,0,0,0,11
35811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
69830,0,0,0,0,1,0,0,9,0,21,0,0,0,0,0,8,0,0,0,41
46250,0,0,0,2,1,0,1,27,0,0,2,0,0,0,0,64,0,0,0,4
47798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1
33280,0,0,0,1,0,0,0,14,0,0,1,0,0,0,0,27,0,0,0,22
18582,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,16,0,0,0,1
42051,0,0,0,0,1,0,0,30,0,0,2,0,0,0,0,87,1,0,0,4
20176,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0
31934,0,0,1,0,1,0,0,13,1,0,1,0,0,0,0,64,0,0,0,4
34521,0,0,0,0,1,0,0,3,0,2,1,0,0,0,0,15,1,0,0,4
61847,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
55519,0,0,1,0,0,1,0,19,1,0,0,0,0,1,0,53,0,0,0,2
