110	5	GABA-ergic Neuron	2	-	0.9770428
111	3	Glutamatergic Neuron	3	-	0.9491224
112	1	Glutamatergic Neuron	3	-	0.9477987
113	1	Glutamatergic Neuron	3	-	0.6822660
114	2	Glutamatergic Neuron	3	-	0.9994440
115	1	GABA-ergic Neuron	2	-	0.9415276
116	1	Glutamatergic Neuron	3	-	0.9968975
117	1	Glutamatergic Neuron	3	-	0.5262909
118	1	GABA-ergic Neuron	2	-	0.9025974
119	1	GABA-ergic Neuron	2	-	0.9877986
120	1	Glutamatergic Neuron	3	-	0.8242107
121	1	GABA-ergic Neuron	2	-	0.7598359
122	8	Microglia	4	-	0.5117977
123	1	Glutamatergic Neuron	3	-	0.9917141
124	1	Glutamatergic Neuron	3	-	0.8998172
125	5	Glutamatergic Neuron	3	-	0.5683398
126	1	Glutamatergic Neuron	3	-	0.8907034
127	5	Glutamatergic Neuron	3	-	0.8446711
128	1	Glutamatergic Neuron	3	-	0.7280628
129	9	Glutamatergic Neuron	3	-	0.9903177
130	9	Microglia	4	-	0.5085434
131	9	GABA-ergic Neuron	2	-	0.8087290
132	9	Glutamatergic Neuron	3	-	0.9990962
133	4	GABA-ergic Neuron	2	-	0.8214338
134	7	Glutamatergic Neuron	3	-	0.9922833
135	6	Astrocyte	0	-	0.6001617
136	6	GABA-ergic Neuron	2	-	0.5593686
137	9	Glutamatergic Neuron	3	-	0.7238661
138	6	GABA-ergic Neuron	2	-	0.8704628
139	9	Glutamatergic Neuron	3	-	0.9998731
140	2	GABA-ergic Neuron	2	-	0.7494970
141	7	Glutamatergic Neuron	3	-	0.7853065
142	7	Glutamatergic Neuron	3	-	0.9990019
143	8	Glutamatergic Neuron	3	-	0.9613613
144	9	Glutamatergic Neuron	3	-	0.9981051
145	6	GABA-ergic Neuron	2	-	0.9975629
146	4	GABA-ergic Neuron	2	-	0.5873419
147	6	Glutamatergic Neuron	3	-	0.9872547
148	7	GABA-ergic Neuron	2	-	0.8561032
149	7	Glutamatergic Neuron	3	-	0.8151769
150	7	Glutamatergic Neuron	3	-	0.9995692
151	6	GABA-ergic Neuron	2	-	0.9867559
152	6	Glutamatergic Neuron	3	-	0.9315174
153	4	Glutamatergic Neuron	3	-	0.9994382
154	6	Glutamatergic Neuron	3	-	0.9951858
155	7	Glutamatergic Neuron	3	-	0.7423288
156	7	Glutamatergic Neuron	3	-	0.8662612
157	6	GABA-ergic Neuron	2	-	0.9991836
158	6	Glutamatergic Neuron	3	-	0.6943923
159	6	GABA-ergic Neuron	2	-	0.8416895
160	6	Glutamatergic Neuron	3	-	0.9914987
161	6	GABA-ergic Neuron	2	-	0.9544163
162	6	GABA-ergic Neuron	2	-	0.8149503
163	6	Glutamatergic Neuron	3	-	0.7014614
164	6	GABA-ergic Neuron	2	-	0.7723167
165	6	Glutamatergic Neuron	3	-	0.5048043
166	6	GABA-ergic Neuron	2	-	0.6586314
167	6	GABA-ergic Neuron	2	-	0.9911701
168	6	Astrocyte	0	-	0.9698464
169	6	Glutamatergic Neuron	3	-	0.8294006
170	6	Glutamatergic Neuron	3	-	0.9881327
171	6	Glutamatergic Neuron	3	-	0.9213623
172	6	GABA-ergic Neuron	2	-	0.5770672
173	6	GABA-ergic Neuron	2	-	0.5474681
174	6	GABA-ergic Neuron	2	-	0.9748617
175	2	GABA-ergic Neuron	2	-	0.8060044
176	2	GABA-ergic Neuron	2	-	0.9549434
177	2	GABA-ergic Neuron	2	-	0.8005119
178	2	GABA-ergic Neuron	2	-	0.6977932
179	2	Glutamatergic Neuron	3	-	0.9915600
180	2	GABA-ergic Neuron	2	-	0.8075731
181	2	GABA-ergic Neuron	2	-	0.9673313
182	2	GABA-ergic Neuron	2	-	0.9955012
183	2	Glutamatergic Neuron	3	-	0.5946703
184	6	GABA-ergic Neuron	2	-	0.6592231
185	6	Glutamatergic Neuron	3	-	0.6849720
186	6	Glutamatergic Neuron	3	-	0.8735525
187	6	GABA-ergic Neuron	2	-	0.5066936
